URL,Probability,Produkt,Watt,Spannung,Preis,MwSt,Bestellnummer,Artikelnummer,Technische Daten,Zubehör
https://fein.com/de_de/maschinen/schleifen-polieren/winkelschleifer/winkelschleifer-premium/cg-15-125-bl-72226760000/,0.6666666666666666,X,,,X,X,X,,X,X
https://fein.com/de_de/maschinen/schleifen-polieren/winkelschleifer/winkelschleifer-universal/cg-17-125-72228160000/,0.6666666666666666,X,,,X,X,X,,X,X
https://fein.com/de_de/maschinen/fraesen/kantenfraesen/kfh-17-8-r-72381661000/,0.6666666666666666,X,,,X,X,X,,X,X
https://fein.com/de_de/maschinen/schleifen-polieren/geradschleifer/gsz-11-90-perl-72232360000/,0.6666666666666666,X,,,X,X,X,,X,X
https://fein.com/de_de/maschinen/schleifen-polieren/geradschleifer/?tx_mqproductscustom_pdf%5Bpro%5D=13953&type=1646&cHash=1275ba8facaa0213f5927d6e63aaa52e,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/schleifen-polieren/winkelschleifer/winkelschleifer-premium/?tx_mqbasket_list%5BitemData%5D=Tzo1MjoiTW9zYWlxXE1xQmFza2V0XERvbWFpblxFbnRpdHlcQnV0dG9uc1BhcmFtZXRlckVudGl0eSI6Nzp7czo5OiIAKgBsaXN0SUQiO3M6NzoiZGVmYXVsdCI7czo3OiIAKgBpdGVtIjtpOjIzODA5MDtzOjExOiIAKgBjYXRlZ29yeSI7czo4OiJtYWNoaW5lcyI7czoxMzoiACoAaXRlbXNDb3VudCI7aToxO3M6MTc6IgAqAGl0ZW1SZXBvc2l0b3J5IjtzOjU2OiJcTW9zYWlxXE1xUHJvZHVjdHNDdXN0b21cRG9tYWluXFJlcG9zaXRvcnlcUHJvUmVwb3NpdG9yeSI7czo5OiIAKgBsYXlvdXQiO3M6MTU6ImJ0bkZhdm9yaXRlQ2FyZCI7czoxNzoiACoAYWRkaXRpb25hbERhdGEiO2E6Mzp7czoxNDoicHJvT3JkZXJOdW1iZXIiO3M6MTE6IjcyMjI3OTYwMDAwIjtzOjg6InByb1RpdGxlIjtzOjk6IkNHIDEwLTEyNSI7czoxMToicHJvSGVhZGxpbmUiO3M6MzM6IkNvbXBhY3QtV2lua2Vsc2NobGVpZmVyIMOYIDEyNSBtbSI7fX0%3D&tx_mqbasket_list%5BitemsCount%5D=0&type=215144&cHash=85636d6a1c89250e1495f23877c89ad0,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/schleifen-polieren/winkelschleifer/winkelschleifer-premium/?tx_mqbasket_list%5BitemData%5D=Tzo1MjoiTW9zYWlxXE1xQmFza2V0XERvbWFpblxFbnRpdHlcQnV0dG9uc1BhcmFtZXRlckVudGl0eSI6Nzp7czo5OiIAKgBsaXN0SUQiO3M6NzoiZGVmYXVsdCI7czo3OiIAKgBpdGVtIjtpOjIzODA5MDtzOjExOiIAKgBjYXRlZ29yeSI7czo4OiJtYWNoaW5lcyI7czoxMzoiACoAaXRlbXNDb3VudCI7aToxO3M6MTc6IgAqAGl0ZW1SZXBvc2l0b3J5IjtzOjU2OiJcTW9zYWlxXE1xUHJvZHVjdHNDdXN0b21cRG9tYWluXFJlcG9zaXRvcnlcUHJvUmVwb3NpdG9yeSI7czo5OiIAKgBsYXlvdXQiO3M6MTU6ImJ0bkZhdm9yaXRlQ2FyZCI7czoxNzoiACoAYWRkaXRpb25hbERhdGEiO2E6Mzp7czoxNDoicHJvT3JkZXJOdW1iZXIiO3M6MTE6IjcyMjI3OTYwMDAwIjtzOjg6InByb1RpdGxlIjtzOjk6IkNHIDEwLTEyNSI7czoxMToicHJvSGVhZGxpbmUiO3M6MzM6IkNvbXBhY3QtV2lua2Vsc2NobGVpZmVyIMOYIDEyNSBtbSI7fX0%3D&tx_mqbasket_list%5BitemsCount%5D=0&type=215452&cHash=85636d6a1c89250e1495f23877c89ad0,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/fein-versamag-system/fein-versamag-system/fein-versamag-32172050020/,0.6666666666666666,X,,,X,X,X,,X,X
https://fein.com/de_de/maschinen/fein-versamag-system/fein-versamag-system/fein-versamag-schraubstock-set-90701003020/,0.6666666666666666,X,,,X,X,X,,X,X
https://fein.com/de_de/maschinen/fein-versamag-system/fein-versamag-system/?tx_mqproductscustom_pdf%5Bpro%5D=242246&type=1646&cHash=f21ac82100ceca86fb965d1b5fc74ddf,0.0,,,,,,,,,
